nbh_num,cat_1,cat_2,price_tier,likes,rating,CAD / ft²·month,Neighbourhood,Population 2016,Population density per square kilometre,Children (0-14 years),Youth (15-24 years),Working Age (25-54 years),Pre-retirement (55-64 years),Seniors (65+ years),Older Seniors (85+ years),After-tax income: Average amount ($)
68,Italian Restaurant,None,2,31,8.5,3.363636363636364,North Riverdale,11916,6770,1960,1170,5490,1645,1660,140,56122
68,Restaurant,None,2,4,7.9,3.363636363636364,North Riverdale,11916,6770,1960,1170,5490,1645,1660,140,56122
70,Café,Pub,1,90,9.0,2.648753259452412,South Riverdale,27876,3136,3975,2445,15025,3120,3330,520,43297
70,Pizza Place,None,1,85,9.2,2.648753259452412,South Riverdale,27876,3136,3975,2445,15025,3120,3330,520,43297
70,Mediterranean Restaurant,Falafel Restaurant,2,53,9.1,2.648753259452412,South Riverdale,27876,3136,3975,2445,15025,3120,3330,520,43297
70,Diner,None,1,34,9.0,2.648753259452412,South Riverdale,27876,3136,3975,2445,15025,3120,3330,520,43297
70,Middle Eastern Restaurant,None,2,99,8.4,2.648753259452412,South Riverdale,27876,3136,3975,2445,15025,3120,3330,520,43297
71,Italian Restaurant,Pizza Place,2,30,8.2,2.813211009174312,Cabbagetown-South St. James Town,11669,8335,800,1035,5855,1715,2250,305,49123
71,Japanese Restaurant,None,2,113,8.6,2.813211009174312,Cabbagetown-South St. James Town,11669,8335,800,1035,5855,1715,2250,305,49123
71,Diner,None,1,24,8.5,2.813211009174312,Cabbagetown-South St. James Town,11669,8335,800,1035,5855,1715,2250,305,49123
71,Café,None,1,15,8.2,2.813211009174312,Cabbagetown-South St. James Town,11669,8335,800,1035,5855,1715,2250,305,49123
71,Restaurant,None,2,16,8.2,2.813211009174312,Cabbagetown-South St. James Town,11669,8335,800,1035,5855,1715,2250,305,49123
73,Thai Restaurant,None,2,74,8.4,3.1859360365640312,Moss Park,20506,14753,1540,2060,12530,2495,1900,140,45877
73,Breakfast Spot,None,1,55,7.9,3.1859360365640312,Moss Park,20506,14753,1540,2060,12530,2495,1900,140,45877
73,German Restaurant,None,2,16,8.2,3.1859360365640312,Moss Park,20506,14753,1540,2060,12530,2495,1900,140,45877
73,Italian Restaurant,None,2,57,8.4,3.1859360365640312,Moss Park,20506,14753,1540,2060,12530,2495,1900,140,45877
73,Sandwich Place,None,1,5,7.9,3.1859360365640312,Moss Park,20506,14753,1540,2060,12530,2495,1900,140,45877
75,Japanese Restaurant,Bar,2,387,8.6,4.657306763285026,Church-Yonge Corridor,31340,23044,1260,5060,18780,3235,3010,250,43039
75,Ramen Restaurant,Japanese Restaurant,0,60,8.3,4.657306763285026,Church-Yonge Corridor,31340,23044,1260,5060,18780,3235,3010,250,43039
75,Sandwich Place,Vietnamese Restaurant,1,312,9.0,4.657306763285026,Church-Yonge Corridor,31340,23044,1260,5060,18780,3235,3010,250,43039
75,Café,None,1,8,7.6,4.657306763285026,Church-Yonge Corridor,31340,23044,1260,5060,18780,3235,3010,250,43039
75,Japanese Restaurant,None,2,14,7.2,4.657306763285026,Church-Yonge Corridor,31340,23044,1260,5060,18780,3235,3010,250,43039
76,Gastropub,Pub,2,233,8.5,3.35847517176063,Bay Street Corridor,25797,14097,1695,6860,13065,1760,2420,330,43427
76,Modern European Restaurant,Mediterranean Restaurant,0,28,8.2,3.35847517176063,Bay Street Corridor,25797,14097,1695,6860,13065,1760,2420,330,43427
76,Middle Eastern Restaurant,None,2,6,8.0,3.35847517176063,Bay Street Corridor,25797,14097,1695,6860,13065,1760,2420,330,43427
76,Seafood Restaurant,None,2,135,8.1,3.35847517176063,Bay Street Corridor,25797,14097,1695,6860,13065,1760,2420,330,43427
76,Sushi Restaurant,Japanese Restaurant,3,160,8.5,3.35847517176063,Bay Street Corridor,25797,14097,1695,6860,13065,1760,2420,330,43427
77,Chinese Restaurant,Dim Sum Restaurant,3,119,8.3,3.782658308925496,Waterfront Communities-The Island,65913,8943,3650,7840,45105,4680,4635,365,54292
77,Japanese Restaurant,Sushi Restaurant,2,142,8.9,3.782658308925496,Waterfront Communities-The Island,65913,8943,3650,7840,45105,4680,4635,365,54292
77,Café,Coffee Shop,1,105,8.3,3.782658308925496,Waterfront Communities-The Island,65913,8943,3650,7840,45105,4680,4635,365,54292
77,Fried Chicken Joint,None,1,16,8.1,3.782658308925496,Waterfront Communities-The Island,65913,8943,3650,7840,45105,4680,4635,365,54292
77,Pizza Place,None,1,8,7.9,3.782658308925496,Waterfront Communities-The Island,65913,8943,3650,7840,45105,4680,4635,365,54292
78,Vietnamese Restaurant,Asian Restaurant,1,43,8.6,5.469586552979838,Kensington-Chinatown,17945,11806,1315,3350,8760,1795,2705,480,31282
78,Noodle House,None,1,17,8.3,5.469586552979838,Kensington-Chinatown,17945,11806,1315,3350,8760,1795,2705,480,31282
78,Café,Coffee Shop,1,150,8.7,5.469586552979838,Kensington-Chinatown,17945,11806,1315,3350,8760,1795,2705,480,31282
78,Café,None,1,147,8.8,5.469586552979838,Kensington-Chinatown,17945,11806,1315,3350,8760,1795,2705,480,31282
78,Mexican Restaurant,None,1,300,9.0,5.469586552979838,Kensington-Chinatown,17945,11806,1315,3350,8760,1795,2705,480,31282
79,Japanese Restaurant,None,2,46,8.8,3.2532956403215296,University,7607,5395,565,1485,3590,650,1320,305,40931
79,Restaurant,None,2,80,9.1,3.2532956403215296,University,7607,5395,565,1485,3590,650,1320,305,40931
79,Italian Restaurant,None,2,59,8.1,3.2532956403215296,University,7607,5395,565,1485,3590,650,1320,305,40931
79,Bakery,Café,1,23,8.0,3.2532956403215296,University,7607,5395,565,1485,3590,650,1320,305,40931
79,Sushi Restaurant,None,2,24,8.4,3.2532956403215296,University,7607,5395,565,1485,3590,650,1320,305,40931
80,Italian Restaurant,None,2,20,8.2,1.478743068391867,Palmerston-Little Italy,13826,9601,1280,1465,7845,1260,1960,290,46199
80,Vegetarian / Vegan Restaurant,None,2,23,8.6,1.478743068391867,Palmerston-Little Italy,13826,9601,1280,1465,7845,1260,1960,290,46199
80,Café,None,1,49,8.5,1.478743068391867,Palmerston-Little Italy,13826,9601,1280,1465,7845,1260,1960,290,46199
80,Japanese Restaurant,None,2,18,7.4,1.478743068391867,Palmerston-Little Italy,13826,9601,1280,1465,7845,1260,1960,290,46199
80,Burger Joint,New American Restaurant,1,6,7.7,1.478743068391867,Palmerston-Little Italy,13826,9601,1280,1465,7845,1260,1960,290,46199
81,Restaurant,None,2,68,8.0,3.859012940114354,Trinity-Bellwoods,16556,9570,1745,1630,9210,1625,2350,330,40658
81,Sandwich Place,Diner,1,59,8.8,3.859012940114354,Trinity-Bellwoods,16556,9570,1745,1630,9210,1625,2350,330,40658
81,Pizza Place,Italian Restaurant,3,339,9.1,3.859012940114354,Trinity-Bellwoods,16556,9570,1745,1630,9210,1625,2350,330,40658
81,Breakfast Spot,None,1,89,7.7,3.859012940114354,Trinity-Bellwoods,16556,9570,1745,1630,9210,1625,2350,330,40658
81,Asian Restaurant,Tapas Restaurant,2,71,8.9,3.859012940114354,Trinity-Bellwoods,16556,9570,1745,1630,9210,1625,2350,330,40658
82,Poke Place,None,0,14,8.4,5.723466702256689,Niagara,31180,10156,2055,2415,23320,1885,1510,95,54803
82,New American Restaurant,Restaurant,3,120,7.9,5.723466702256689,Niagara,31180,10156,2055,2415,23320,1885,1510,95,54803
82,Bakery,Café,1,171,9.0,5.723466702256689,Niagara,31180,10156,2055,2415,23320,1885,1510,95,54803
82,Burger Joint,Bar,2,41,8.2,5.723466702256689,Niagara,31180,10156,2055,2415,23320,1885,1510,95,54803
82,Café,None,2,52,7.5,5.723466702256689,Niagara,31180,10156,2055,2415,23320,1885,1510,95,54803
83,Vietnamese Restaurant,None,2,62,8.5,1.541640625,Dufferin Grove,11785,8540,1285,1065,6680,1235,1515,175,34403
83,Middle Eastern Restaurant,None,2,59,8.8,1.541640625,Dufferin Grove,11785,8540,1285,1065,6680,1235,1515,175,34403
83,Bakery,Coffee Shop,1,23,8.4,1.541640625,Dufferin Grove,11785,8540,1285,1065,6680,1235,1515,175,34403
83,Sandwich Place,None,1,45,8.2,1.541640625,Dufferin Grove,11785,8540,1285,1065,6680,1235,1515,175,34403
83,Restaurant,Thai Restaurant,2,3,6.5,1.541640625,Dufferin Grove,11785,8540,1285,1065,6680,1235,1515,175,34403
84,Restaurant,None,2,45,8.5,2.727647416252017,Little Portugal,15559,12859,1400,1605,9385,1325,1855,255,37924
84,Thai Restaurant,None,2,52,8.4,2.727647416252017,Little Portugal,15559,12859,1400,1605,9385,1325,1855,255,37924
84,Café,None,1,34,8.0,2.727647416252017,Little Portugal,15559,12859,1400,1605,9385,1325,1855,255,37924
84,Café,Bike Shop,1,12,8.4,2.727647416252017,Little Portugal,15559,12859,1400,1605,9385,1325,1855,255,37924
84,Japanese Restaurant,None,2,48,9.0,2.727647416252017,Little Portugal,15559,12859,1400,1605,9385,1325,1855,255,37924
85,American Restaurant,Burger Joint,2,36,8.5,2.56269592476489,South Parkdale,21849,9583,2115,2275,12440,2475,2540,360,30293
85,Restaurant,None,2,26,8.8,2.56269592476489,South Parkdale,21849,9583,2115,2275,12440,2475,2540,360,30293
85,Donut Shop,Bakery,1,118,8.4,2.56269592476489,South Parkdale,21849,9583,2115,2275,12440,2475,2540,360,30293
85,Bakery,None,1,9,8.3,2.56269592476489,South Parkdale,21849,9583,2115,2275,12440,2475,2540,360,30293
85,Asian Restaurant,None,2,6,8.1,2.56269592476489,South Parkdale,21849,9583,2115,2275,12440,2475,2540,360,30293
